,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,{'urls': []},False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
geo,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
place,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
quoted_status_id,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,1338902562146279428,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
quoted_status_id_str,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,1338902562146279428,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,2,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
possibly_sensitive,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
lang,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
