,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,{'urls': []},False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,1338922745220960257,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,DrippityDropp,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorited,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
lang,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
