,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,"{'urls': [{'url': 'https://t.co/LiP0O3SCbG', 'expanded_url': 'http://shj.xn--l3h/', 'display_url': 'shj.☁', 'indices': [0, 23]}]}",False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted_status,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,"{'created_at': 'Wed Dec 16 05:17:25 +0000 2020', 'id': 1339077148741693440, 'id_str': '1339077148741693440', 'text': 'https://t.co/q4fASqT0lj', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339077127191269377, 'id_str': '1339077127191269377', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1339077127191269377/pu/img/Jbef3B3eSlluzQbo.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1339077127191269377/pu/img/Jbef3B3eSlluzQbo.jpg', 'url': 'https://t.co/q4fASqT0lj', 'display_url': 'pic.twitter.com/q4fASqT0lj', 'expanded_url': 'https://twitter.com/se2ds/status/1339077148741693440/video/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 649, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1132, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1132, 'h': 1080, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1339077127191269377, 'id_str': '1339077127191269377', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1339077127191269377/pu/img/Jbef3B3eSlluzQbo.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1339077127191269377/pu/img/Jbef3B3eSlluzQbo.jpg', 'url': 'https://t.co/q4fASqT0lj', 'display_url': 'pic.twitter.com/q4fASqT0lj', 'expanded_url': 'https://twitter.com/se2ds/status/1339077148741693440/video/1', 'type': 'video', 'sizes': {'small': {'w': 680, 'h': 649, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1132, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1132, 'h': 1080, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [283, 270], 'duration_millis': 13333, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1339077127191269377/pu/pl/bIUq-DnkDr4gBiJo.m3u8?tag=10'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1339077127191269377/pu/vid/754x720/wkPWPiFU38uyITwJ.mp4?tag=10'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1339077127191269377/pu/vid/282x270/UhFhJm3EnIpCeAVs.mp4?tag=10'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1339077127191269377/pu/vid/376x360/q-LfsAncC2if0u5H.mp4?tag=10'}]}, 'additional_media_info': {'monetizable': False}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 9, 'favorite_count': 17, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'und'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,9,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorited,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
possibly_sensitive,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
lang,1036029408023216128,1036029408023216128,damarisˣ¹,hyeongjunIvr,"x1, crvt, a.c.e",,#byeongkwan | carrd byf | she/her,https://t.co/LiP0O3SCbG,,False,541,688,12,Sat Sep 01 23:13:54 +0000 2018,41144,,,False,False,33981,,und,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_images/1337223641474318336/OSB6_S74_normal.jpg,https://pbs.twimg.com/profile_banners/1036029408023216128/1607654832,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
