,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,"{'urls': [{'url': 'https://t.co/QcpNhWEtuw', 'expanded_url': 'https://www.taylorswift.com/', 'display_url': 'taylorswift.com', 'indices': [0, 23]}]}",False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
geo,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
place,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,4,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
lang,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
