,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,"{'urls': [{'url': 'https://t.co/4P6D7i7adn', 'expanded_url': 'https://p0cketknife.carrd.co/', 'display_url': 'p0cketknife.carrd.co', 'indices': [0, 23]}]}",False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,1284772097718390785,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,1284772097718390785,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,rukulpa,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
