,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,"{'urls': [{'url': 'https://t.co/228AZTrDmA', 'expanded_url': 'http://MeredithIsMyBae.tumblr.com', 'display_url': 'MeredithIsMyBae.tumblr.com', 'indices': [0, 23]}]}",False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,80144576,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,80144576,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,taylornation13,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
