,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,"{'urls': [{'url': 'https://t.co/I4nNwOtNQS', 'expanded_url': 'https://www.youtube.com/channel/UCmGr_h-2e_yZV4OG6n5ww2Q', 'display_url': 'youtube.com/channel/UCmGr_…', 'indices': [0, 23]}]}",False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
