,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,"{'urls': [{'url': 'https://t.co/VAbebYgEqZ', 'expanded_url': 'https://youtu.be/P3cffdsEXXw', 'display_url': 'youtu.be/P3cffdsEXXw', 'indices': [0, 23]}]}",False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1084467021633474560,1084467021633474560,lexi ➳ FINELINE ONE YEAR ✰,MEDlClNE94,✿ ts | ari | ot9 ✿,,"#HARRY : soup, sex and sun salutations | they/them | 15 | lesbian | 🪓❤️🦓",https://t.co/VAbebYgEqZ,,False,2150,1648,36,Sun Jan 13 15:07:41 +0000 2019,38573,,,True,False,32188,,und,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_images/1338928765834063874/5DLjt_ZM_normal.jpg,https://pbs.twimg.com/profile_banners/1084467021633474560/1607954509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
