,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,"{'urls': [{'url': 'https://t.co/UR3rSsS4D8', 'expanded_url': 'http://getinformed.carrd.co', 'display_url': 'getinformed.carrd.co', 'indices': [0, 23]}]}",False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,36,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
