,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,{'urls': []},False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_screen_name,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
geo,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
coordinates,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
place,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
contributors,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
is_quote_status,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
retweet_count,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
favorite_count,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,1,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
favorited,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
retweeted,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
lang,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
