,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,{'urls': []},False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,itsJegus,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
geo,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
place,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
lang,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
